State,Date,Sex,Ethnicity,Population,Event_Type,Area
W.P. Kuala Lumpur,01/01/2022,Male,Indian,828,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Indian,542,Death,243
W.P. Labuan,01/01/2022,Male,Indian,3,Death,91
W.P. Labuan,01/01/2022,Female,Indian,2,Death,91
W.P. Putrajaya,01/01/2022,Male,Indian,4,Death,49
W.P. Putrajaya,01/01/2022,Female,Indian,5,Death,49
Johor,01/01/2022,Both,Overall,48254,Birth,19210
Kedah,01/01/2022,Both,Overall,30796,Birth,9500
Kelantan,01/01/2022,Both,Overall,33808,Birth,15099
Melaka,01/01/2022,Both,Overall,13105,Birth,1664
Negeri Sembilan,01/01/2022,Both,Overall,15991,Birth,6686
Pahang,01/01/2022,Both,Overall,23568,Birth,36137
Perak,01/01/2022,Both,Overall,29543,Birth,21035
Perlis,01/01/2022,Both,Overall,3746,Birth,821
Pulau Pinang,01/01/2022,Both,Overall,17731,Birth,1048
Sabah,01/01/2022,Both,Overall,43617,Birth,72631
Sarawak,01/01/2022,Both,Overall,30937,Birth,124450
Selangor,01/01/2022,Both,Overall,83658,Birth,8104
Terengganu,01/01/2022,Both,Overall,25304,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,19853,Birth,243
W.P. Labuan,01/01/2022,Both,Overall,1374,Birth,91
W.P. Putrajaya,01/01/2022,Both,Overall,1839,Birth,49
Johor,01/01/2022,Male,Overall,24765,Birth,19210
Johor,01/01/2022,Female,Overall,23489,Birth,19210
Kedah,01/01/2022,Male,Overall,15784,Birth,9500
Kedah,01/01/2022,Female,Overall,15012,Birth,9500
Kelantan,01/01/2022,Male,Overall,17464,Birth,15099
Kelantan,01/01/2022,Female,Overall,16344,Birth,15099
Melaka,01/01/2022,Male,Overall,6745,Birth,1664
Melaka,01/01/2022,Female,Overall,6360,Birth,1664
Negeri Sembilan,01/01/2022,Male,Overall,8406,Birth,6686
Negeri Sembilan,01/01/2022,Female,Overall,7585,Birth,6686
Pahang,01/01/2022,Male,Overall,12209,Birth,36137
Pahang,01/01/2022,Female,Overall,11359,Birth,36137
Perak,01/01/2022,Male,Overall,15202,Birth,21035
Perak,01/01/2022,Female,Overall,14341,Birth,21035
Perlis,01/01/2022,Male,Overall,1967,Birth,821
Perlis,01/01/2022,Female,Overall,1779,Birth,821
Pulau Pinang,01/01/2022,Male,Overall,9069,Birth,1048
Pulau Pinang,01/01/2022,Female,Overall,8662,Birth,1048
Sabah,01/01/2022,Male,Overall,22471,Birth,72631
Sabah,01/01/2022,Female,Overall,21146,Birth,72631
Sarawak,01/01/2022,Male,Overall,15949,Birth,124450
Sarawak,01/01/2022,Female,Overall,14988,Birth,124450
Selangor,01/01/2022,Male,Overall,43346,Birth,8104
Selangor,01/01/2022,Female,Overall,40312,Birth,8104
Terengganu,01/01/2022,Male,Overall,13077,Birth,13035
Terengganu,01/01/2022,Female,Overall,12227,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Male,Overall,10234,Birth,243
