state,date,sex,ethnicity,abs
Sarawak,2004-01-01,both,overall,43545
Sarawak,2005-01-01,both,overall,43241
Sarawak,2006-01-01,both,overall,42892
Sarawak,2007-01-01,both,overall,42549
Sarawak,2008-01-01,both,overall,43426
Sarawak,2009-01-01,both,overall,43753
Sarawak,2010-01-01,both,overall,41474
Sarawak,2011-01-01,both,overall,43383
Sarawak,2012-01-01,both,overall,43178
Sarawak,2013-01-01,both,overall,40413
Sarawak,2014-01-01,both,overall,41049
Sarawak,2015-01-01,both,overall,39754
Sarawak,2016-01-01,both,overall,37985
Sarawak,2017-01-01,both,overall,37654
Sarawak,2018-01-01,both,overall,36624
Sarawak,2019-01-01,both,overall,36672
Sarawak,2020-01-01,both,overall,35449
Sarawak,2021-01-01,both,overall,31274
Sarawak,2022-01-01,both,overall,30937
Selangor,2000-01-01,both,overall,91635
Selangor,2001-01-01,both,overall,87758
Selangor,2002-01-01,both,overall,89735
Selangor,2003-01-01,both,overall,89933
Selangor,2004-01-01,both,overall,93176
Selangor,2005-01-01,both,overall,92456
Selangor,2006-01-01,both,overall,94737
Selangor,2007-01-01,both,overall,97055
Selangor,2008-01-01,both,overall,100284
Selangor,2009-01-01,both,overall,103023
Selangor,2010-01-01,both,overall,98429
Selangor,2011-01-01,both,overall,103686
Selangor,2012-01-01,both,overall,107946
Selangor,2013-01-01,both,overall,103173
Selangor,2014-01-01,both,overall,108932
Selangor,2015-01-01,both,overall,108131
Selangor,2016-01-01,both,overall,104661
Selangor,2017-01-01,both,overall,103987
Selangor,2018-01-01,both,overall,102125
Selangor,2019-01-01,both,overall,98836
Selangor,2020-01-01,both,overall,93577
Selangor,2021-01-01,both,overall,90118
Selangor,2022-01-01,both,overall,83658
Terengganu,2000-01-01,both,overall,24833
Terengganu,2001-01-01,both,overall,24060
Terengganu,2002-01-01,both,overall,23205
Terengganu,2003-01-01,both,overall,22269
Terengganu,2004-01-01,both,overall,22542
Terengganu,2005-01-01,both,overall,21966
Terengganu,2006-01-01,both,overall,21907
Terengganu,2007-01-01,both,overall,22366
Terengganu,2008-01-01,both,overall,23339
Terengganu,2009-01-01,both,overall,23887
Terengganu,2010-01-01,both,overall,24262
Terengganu,2011-01-01,both,overall,24776
Terengganu,2012-01-01,both,overall,25698
Terengganu,2013-01-01,both,overall,25465
Terengganu,2014-01-01,both,overall,27013
Terengganu,2015-01-01,both,overall,27629
Terengganu,2016-01-01,both,overall,27521
Terengganu,2017-01-01,both,overall,27911
Terengganu,2018-01-01,both,overall,28242
Terengganu,2019-01-01,both,overall,27085
Terengganu,2020-01-01,both,overall,27177
Terengganu,2021-01-01,both,overall,26337
Terengganu,2022-01-01,both,overall,25304
W.P. Kuala Lumpur,2000-01-01,both,overall,29382
W.P. Kuala Lumpur,2001-01-01,both,overall,27211
W.P. Kuala Lumpur,2002-01-01,both,overall,25928
W.P. Kuala Lumpur,2003-01-01,both,overall,25173
W.P. Kuala Lumpur,2004-01-01,both,overall,24892
W.P. Kuala Lumpur,2005-01-01,both,overall,23544
W.P. Kuala Lumpur,2006-01-01,both,overall,24067
W.P. Kuala Lumpur,2007-01-01,both,overall,24936
W.P. Kuala Lumpur,2008-01-01,both,overall,25178
W.P. Kuala Lumpur,2009-01-01,both,overall,25870
W.P. Kuala Lumpur,2010-01-01,both,overall,24471
W.P. Kuala Lumpur,2011-01-01,both,overall,25525
W.P. Kuala Lumpur,2012-01-01,both,overall,26982
W.P. Kuala Lumpur,2013-01-01,both,overall,25333
W.P. Kuala Lumpur,2014-01-01,both,overall,27100
W.P. Kuala Lumpur,2015-01-01,both,overall,25789
W.P. Kuala Lumpur,2016-01-01,both,overall,25739
W.P. Kuala Lumpur,2017-01-01,both,overall,24732
W.P. Kuala Lumpur,2018-01-01,both,overall,24235
W.P. Kuala Lumpur,2019-01-01,both,overall,23921
W.P. Kuala Lumpur,2020-01-01,both,overall,23199
W.P. Kuala Lumpur,2021-01-01,both,overall,21046
W.P. Kuala Lumpur,2022-01-01,both,overall,19853
W.P. Labuan,2000-01-01,both,overall,1495
W.P. Labuan,2001-01-01,both,overall,1486
W.P. Labuan,2002-01-01,both,overall,1466
W.P. Labuan,2003-01-01,both,overall,1584
W.P. Labuan,2004-01-01,both,overall,1513
W.P. Labuan,2005-01-01,both,overall,1509
W.P. Labuan,2006-01-01,both,overall,1587
W.P. Labuan,2007-01-01,both,overall,1581
W.P. Labuan,2008-01-01,both,overall,1680
W.P. Labuan,2009-01-01,both,overall,1656
W.P. Labuan,2010-01-01,both,overall,1631
W.P. Labuan,2011-01-01,both,overall,1734
W.P. Labuan,2012-01-01,both,overall,1773
W.P. Labuan,2013-01-01,both,overall,1743
W.P. Labuan,2014-01-01,both,overall,1871
W.P. Labuan,2015-01-01,both,overall,1953
W.P. Labuan,2016-01-01,both,overall,1752
W.P. Labuan,2017-01-01,both,overall,1685
W.P. Labuan,2018-01-01,both,overall,1691
W.P. Labuan,2019-01-01,both,overall,1678
W.P. Labuan,2020-01-01,both,overall,1714
W.P. Labuan,2021-01-01,both,overall,1522
W.P. Labuan,2022-01-01,both,overall,1374
W.P. Putrajaya,2010-01-01,both,overall,2430
W.P. Putrajaya,2011-01-01,both,overall,2956
W.P. Putrajaya,2012-01-01,both,overall,3150
W.P. Putrajaya,2013-01-01,both,overall,2972
W.P. Putrajaya,2014-01-01,both,overall,3064
W.P. Putrajaya,2015-01-01,both,overall,2869
W.P. Putrajaya,2016-01-01,both,overall,2569
W.P. Putrajaya,2017-01-01,both,overall,2517
W.P. Putrajaya,2018-01-01,both,overall,2400
W.P. Putrajaya,2019-01-01,both,overall,2316
W.P. Putrajaya,2020-01-01,both,overall,2143
W.P. Putrajaya,2021-01-01,both,overall,2106
W.P. Putrajaya,2022-01-01,both,overall,1839
Johor,2000-01-01,male,overall,34726
Johor,2001-01-01,male,overall,31857
Johor,2002-01-01,male,overall,30922
Johor,2003-01-01,male,overall,30223
Johor,2004-01-01,male,overall,29518
